问答对,answer,#1问句类型,#1领域类型,#1语义类型,#2问句类型,#2领域类型,#2语义类型
1936年加米施-帕滕基兴冬奥会冰球赛中有多少名加拿大运动员的英国队获得了这届冠军？,11名,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会而在冰球比赛前，连续蝉联3届冠军的加拿大为什么对英国提出了抗议？,因为英国队中有8名主力选手是加拿大人，他们是出生于英国而后移民至加拿大，后来被英国招募回去的,Why,Competition,Inference,NA,NA,NA
1936年加米施-帕滕基兴冬奥会新项目包括什么？,包括了高山速降和超级大回转的高山滑雪在这届奥运会上第一次列为冬奥会的正式比赛项目,Which,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会科莱奇在该比赛中获得了几块银牌？,一块,Whcih,Competition,Factoid,How,Competition,Calculation
1936年加米施-帕滕基兴冬奥会冰球赛中有11名加拿大运动员的英国队获得了第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会加拿大的抗议被驳回，比赛结果英国获得了第几名？,第一名,Which,Competition,Factoid,NA,NA,NA
为什么1936年加米施-帕滕基兴冬奥会有人认为她已成为职业运动员，没有资格参加这届奥运会？,因为冰舞为题材的影片，,Why,Competition,Descriptive,Who,Competition,Factoid
1936年加米施-帕滕基兴冬奥会越野赛的前四名被以谁为首的瑞典选手包下？,埃-维克隆德,Who,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会冬季奥林匹克运动会于1936年2月6日至16日在德国加米施多少帕滕基兴举行？,2014,When,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会查尔斯-马蒂森获1500米金牌，而巴兰格鲁德以多少秒之差在本项中屈居亚军？,1,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会拉尔松夺冠，挪威的奥-哈根以1分多少秒之差屈居亚军？,5,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会首次列人的4X10公里越野滑雪接力赛，芬兰选手奋力拼搏，以多少秒钟的微弱优势赢得了冠军？,6,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会本届共17个单项，挪威队表演出色，夺回了在普莱西德湖失去的优势，获金牌7枚、银牌5枚、铜牌多少枚？,3,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会第四届冬季奥林匹克运动会于多少年在德国的两个城市加米施和帕滕基兴举行？,1936,When,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会一人独得多少米、5000米、10000米三块金牌；他的队友查尔斯-马蒂森获1500米金牌，而巴兰格鲁德以1秒之差在本项中屈居亚军？,500,Who,Competition,Factoid,How,Competition,Factoid
1936年加米施-帕滕基兴冬奥会拉尔松夺冠，挪威的奥-哈根以多少分05秒之差屈居亚军？,1,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会首次列人的多少X10公里越野滑雪接力赛，芬兰选手奋力拼搏，以6秒钟的微弱优势赢得了冠军？,4,How,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会双人座蝉联了冠军。多少人座金、银牌为瑞士一、二队夺走？,4,How,Competition,Factoid,NA,NA,NA
1936年加米施-帕滕基兴冬奥会而在冰球比赛前，连续蝉联多少届冠军的加拿大对英国提出了抗议，因为英国队中有8名主力选手是加拿大人？,3,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会本届共多少个单项？,17,How,Competition,Calculation,NA,NA,NA
1936年加米施-帕滕基兴冬奥会第四届冬季奥林匹克运动会于多少年在德国举行？,1936,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会的参赛国家地区有多少？,30个,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会的正式名称是什么？,第六届挪威奥斯陆冬奥会,How,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会的主办地在哪？,挪威奥斯陆,Where,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会的中文名是什么？,1952年奥斯陆冬奥会,Which,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会的小项有多少？,22项,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会的大项有多少？,4项,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会的时间是什么时候？,1952.2.14-25,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会应邀参加本届比赛的运动员有多少？,694人,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会应邀参加本届比赛的男运动员有多少？,585人,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会应邀参加本届比赛的女运动员有多少？,109人,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会挪威之所以在冬奥会上成绩出色，与什么有很大的关系？,它雄厚的群众基础,Why,Competition,Opinion,NA,NA,NA
1952奥斯陆冬奥会捷克斯洛伐克队这次全由青年选手组成，他们与瑞典队积分、净胜分均相等，但在争第三名的重赛中以3:5失利，瑞典队获得了第几名？,第三名,Which,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会高山滑雪中的两项全能被取消了，改为传统的3项是什么？,大回转障碍滑雪、回转障碍滑雪和快速降下,Which,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会山地滑雪中的山地两项被取消了，改为传统的3项是什么？,大回转障碍滑雪、回转障碍滑雪和快速降下,Which,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会而第一次列人比赛项目的女子10公里越野滑雪，以哪位运动员为首的芬兰3名选手，囊括了全部的奖牌？,吕-维代曼,Who,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会因为比赛这天(2月16日)，恰好她满28周岁，以什么作为自己生日的礼物也是惬意的？,奥运会银牌,Who,Competition,Factoid,Which,Competition,Factoid
1952奥斯陆冬奥会冬奥会从1924年开始，无论会址是夏蒙尼、圣莫里茨，还是普莱西德湖或加米施-帕滕基兴，都只是偏僻的山镇，人烟稀少，有的甚至居民不足两千人吗？,没错,Whether,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会比赛项目首次列入了女子多少公里越野滑雪？,10,How,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会冬季奥林匹克运动会于1952年2月14日至多少日在挪威奥斯陆举行？,25,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会克里斯蒂安，沿用到多少年？,1925,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会本届比赛项目首次列人女子多少公里越野滑雪？,10,How,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会本届冬奥会的头号新闻人物是谁？,早已驰名冰坛的28岁老将马尔-安德森,Who,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会本届冬奥会28岁老将马尔-安德森他一人包下多少个项目的金牌？,3,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会纳丹佩佐3个申办城市中，选择了奥斯陆举办多少年第六届冬奥会？,1952,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会挪威王国首都，但人口不到多少万？,50,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会1950、多少年他连续两次登上世界全能冠军宝座？,1951,When,Competition,Factoid,Who,Competition,Factoid
1952奥斯陆冬奥会接力赛场面非常壮观，沿途观看的达多少万人之多？,5,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会意大利33岁的老将泽科洛，是山地滑雪能手，多少年曾获世界冠军？,1950,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会赛共多少个队参加？,9,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会加拿大队在历届共参加了多少场冰球赛？,41场,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会加拿大队在历届参加的冰球赛中总战绩是多少？,37胜1负3平,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会加拿大队在历届冰球赛所参加的41场比赛中总的战绩为37胜1负3平，进球403个，失球多少个？,34,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会奥运圣火从哪位运动员家中被点燃？,滑雪运动员努尔海姆,Who,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会奥运圣火从努尔海姆并经过了多少名滑雪运动员的接力传递后来到奥运会主体育场在主运动场中点燃的大会圣火火炬，成为冬奥会第一次正式的圣火？,94,How,Competition,Calculation,NA,NA,NA
奥斯陆冬季奥林匹克运动会于多少年2月14日至25日在挪威奥斯陆举行？,1952,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会每年几月第一个星期天是滑雪节，这一天，奥斯陆男女老少都外出参加滑雪运动？,3,Which,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会冬奥会从多少年开始，都是在偏僻的小山镇举行的，而本届是冬奥会第一次由大城市承办？,1924,When,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会本届冬奥会的头号新闻人物是早已驰名冰坛的多少岁老将马尔-安德森，他一人包下1500米、5000米、10000米3个项目的金牌？,28,How,Competition,Factoid,NA,NA,NA
1952奥斯陆冬奥会赛共多少个队参加，加拿大蝉联了冠军，美国居亚军，瑞典队获铜牌？,9,How,Competition,Calculation,NA,NA,NA
1952冬奥会在多少个申办城市中，选择了奥斯陆举办1952年第六届冬奥会？,3,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会捷克斯洛伐克队这次全由青年选手组成，他们与瑞典队积分、净胜分均相等，但在争第三名的重赛中以多少:5失利，瑞典队获得了铜牌？,3,How,Competition,Calculation,NA,NA,NA
1952奥斯陆冬奥会本届多少个单项比赛全部结束后，挪威再次居领先地位，共获金牌7枚，银牌3枚，铜牌6枚；美国也夺得了仅次于1932年的最好成绩，获金牌4枚，银牌6枚，铜牌1枚；芬兰队金、银、铜牌分别为3、4、2枚？,22,How,Competition,Calculation,NA,NA,NA
1960年美国斯阔谷冬奥会为什么雪橇比赛第一次也是唯一一次在冬奥会中缺席？,因为报名国家太少只有9个,Why,Competition,Descriptive,NA,NA,NA
1960斯阔谷冬奥会的时间是什么？,1960.2.18-1960.2.28,When,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会的参赛运动员有多少人？,665人,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会的小项有多少？,27项,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会的参赛国家有多少？,30个,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会的大项有多少？,4项,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会参赛的女运动员有多少人？,143人,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会参赛的男运动员有多少人？,522人,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会参赛的地区有几个？,1个,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会大会共设有什么？,4个大项27个单项比赛,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会的冰场能容纳多少人？,1万1千名观众,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会奥林匹克村供运动员住宿，这是冬奥会史上第一次有什么？,专门的运动员村,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会每一项目结束后，计算机只需几秒钟就用英德两种文字公布全部比赛成绩，并附有什么？,运动员的简单履历.,How,Competition,Calculation,Which,Competition,Factoid
1960斯阔谷冬奥会每一项目结束后，计算机公布比赛成绩有什么好处？,这大大地减少了裁判的统计工作，缩短了成绩公布的时间,How,Competition,Inference,NA,NA,NA
1960斯阔谷冬奥会首次出现在冬奥会比赛中的现代冬季两项，为什么既要求运动员有良好的滑雪技术，又要求枪打得准？,因为现代冬季两项由滑雪和射击两个完全不同的项目组成,Why,Competition,Inference,NA,NA,NA
1960斯阔谷冬奥会同男子项目一样，苏联同样占有什么？,明显优势,How,Competition,Opinion,NA,NA,NA
1960斯阔谷冬奥会女子项目，苏联获得了几项冠军？,3项,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会苏联著名女速滑手利迪娅斯科布利科娃获得了几枚金牌？,2枚,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会哪个比赛项目在冬夏季奥运会均设有？,现代五项和冬季两项同盟,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会在这届比赛中首次成为比赛项目的是哪一项？,冬季两项,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会冬季两项包括哪两项？,包括了越野滑雪和射击两项,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会哪位运动员首次获得了冬季两项的金牌？,来自瑞典的运动员莱斯坦德,Who,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会宣布本届冬奥会开幕的是谁？,时任美国副总统的里查德·尼克松,Who,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会宣布不举办哪一项比赛？,雪橇比赛,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会这一天，他正好满22周岁，同时又获得了哪一项目的金牌？,5000米赛,Who,Competition,Factoid,Which,Competition,Factoid
1960斯阔谷冬奥会芬兰的越野滑雪运动员维科-哈库利宁总共获得了多少枚金牌？,七枚奥运奖牌,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会在本届比赛中，他就是以这种新装备获得了哪个项目的金牌？,高山速降,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会哪个国家首次与冬奥会接触？,中国,Who,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会大会共设有4个大项多少个单项比赛？,27,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会体育设施完备，并有一个可容1万多少千名观众的冰场？,1,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会2月18日举行了隆重的开幕式、互万多少千名观众出席了盛会？,5,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会萨科娃为首的多少名女将囊括了前四名？,4,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会闭幕式那天，大会组委会组织了一次优秀速滑运动员破纪录赛，前苏联的格里申以39秒6创世界纪录，成为世界上第一个用不到40秒时间滑完多少米的选手？,500,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了4枚金牌中的多少枚？,3,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会挪威这次成绩也不差，除奥斯获1500米赛金牌外，克约翰内森在最后哪一项比赛中赢得了胜利？,10000,Which,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会冰球比赛共多少个队参加？,9,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会本届共举行了27个单项比赛，由于同上届一样的原因，在男子速滑中有两人并列冠军，共决出了多少枚金牌？,28,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会2月18日举行了隆重的开幕式，1万多少千名观众出席了盛会？,5,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会图为哪一年美国斯阔谷冬奥会冬奥会火炬效果图？,1960,When,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会第20届冬奥会将于2月10日在意大利北部城市都灵进行，历届冬奥会奖牌设计各具特色，图为第多少届美国斯阔谷奖牌？,8,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会库利宁只参加了50公里越野滑雪的比赛，但他以4分多少秒的优势夺冠？,38,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会在开始进行的30公里比赛中，他名列第六，在多少公里滑雪中夺得铜牌？,15,Who,Competition,Factoid,How,Competition,Calculation
1960斯阔谷冬奥会大会共设有多少个大项27个单项比赛？,4,How,Competition,Calculation,NA,NA,NA
"1960斯阔谷冬奥会冬奥会的筹办过程进展得不很顺利，这个距离加州旧金山多少公里，海拔1,900米的山城，在向国际奥会提出申办时，完全没有比赛的运动设施和场馆？",300,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会斯阔谷风景优美，是美国重要的旅游胜地，海拔多少米，以往的冬奥会会址的海拔高度都比这里低，本届冬奥会是第一次在海拔较高点举行的冬季盛会？,1889,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会欧洲国家在本届花样滑冰赛中遭到了自哪一届冬奥会创办以来的第一次失败，一块金牌也没拿到，而美洲则出尽了风头？,第一届,Which,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会欧洲在滑雪赛中仍占上风，男子越野滑雪依旧是芬兰、挪威、瑞典等国争雄，除了哪位运动员是上届50公里金牌获得者外，其余获桂冠的多是新人？,瑞典的西耶恩伯格,Who,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会本届只有男子20公里个人赛，谁赢得了这项胜利？,瑞典的西耶恩伯格,Who,Competition,Factoid,NA,NA,NA
1960斯阔谷冬奥会冰球比赛共多少个队参加，美国队获冠军，加拿大获亚军？,9,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会闭幕式那天，大会组委会组织了一次优秀速滑运动员破纪录赛，前苏联的格里申以多少秒6创世界纪录，成为世界上第一个用不到40秒时间滑完500米的选手？,39,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了多少枚金牌中的3枚？,4,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会现象，格里申和挪威罗奥斯的成绩均为多少分10秒4？,2,How,Competition,Calculation,NA,NA,NA 
1960斯阔谷冬奥会这一天，维克托·科西奇金正好满多少周岁，同时又获得了5000米赛的金牌，使自己的生日倍增光彩？,22,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会东道主以多少:1战胜最后对手加拿大队，首次赢得了桂冠？,2,How,Competition,Calculation,NA,NA,NA
1960斯阔谷冬奥会库利宁只参加了哪一项的比赛，但他以4分38秒的优势夺冠？,50公里越野滑雪,Which,Competition,Factoid,NA,NA,NA
哪一届冬奥会是亚洲举办的第一届奥运会？,第十一届日本札幌冬奥会,Which,Competition,Factoid,NA,NA,NA
日本仅在哪一届冬奥会上获过1枚银牌？,第七届冬奥会,Which,Competition,Factoid,NA,NA,NA
1972札幌冬奥会为什么具有国际性？,因为冬奥会在不同的地区不同的国度举行,Why,Competition,Inference,NA,NA,NA
1972札幌冬奥会斯特拉获得了几枚银牌，几枚铜牌？,1枚银牌和2枚铜牌,How,Competition,Calculation,NA,NA,NA
1972札幌冬奥会伊琳娜-罗德尼娜和亚历山大-乌兰诺夫，首次参加冬奥会，获得了第几名？,男女双人滑冠军,Which,Competition,Factoid,NA,NA,NA
